COUNTRY_ID,CURRENCY_ID,NAME                           ,EU_GEOGRAPHIC_CODE,STATE_BASED_TAX,VALID_FROM,VALID_TO,EEA_FLG
UMI       ,USD        ,United States MO Islands       ,NON-EC            ,               ,01/01/2014,        ,N
USA       ,USD        ,United States                  ,NON-EC            ,               ,01/01/2014,        ,N
URY       ,UYU        ,Uruguay                        ,NON-EC            ,               ,01/01/2014,        ,N
UZB       ,UZS        ,Uzbekistan                     ,NON-EC            ,               ,01/01/2014,        ,N
VAT       ,EUR        ,Holy See (Vatican City State)  ,                  ,               ,01/01/2014,        ,N
VCT       ,XCD        ,Saint Vincent and Grenadines   ,NON-EC            ,               ,01/01/2014,        ,N
VEN       ,VES        ,"Venezuela, BR"                ,NON-EC            ,               ,01/01/2014,        ,N
VGB       ,USD        ,"Virgin Islands, British"      ,NON-EC            ,               ,01/01/2014,        ,N
VIR       ,USD        ,"Virgin Islands, U.S."         ,NON-EC            ,               ,01/01/2014,        ,N
VNM       ,VND        ,Vietnam                        ,NON-EC            ,               ,01/01/2014,        ,N
VUT       ,VUV        ,Vanuatu                        ,NON-EC            ,               ,01/01/2014,        ,N
WLF       ,XPF        ,Wallis and Futuna              ,NON-EC            ,               ,01/01/2014,        ,N
WSM       ,WST        ,Samoa                          ,NON-EC            ,               ,01/01/2014,        ,N
XKX       ,EUR        ,Kosovo                         ,NON-EU            ,               ,01/01/2014,        ,N
YEM       ,YER        ,Yemen                          ,NON-EC            ,               ,01/01/2014,        ,N
MYT       ,EUR        ,Mayotte                        ,NON-EC            ,               ,01/01/2014,        ,N
ZAF       ,ZAR        ,South Africa                   ,NON-EC            ,               ,01/01/2014,        ,N
ZMB       ,ZMW        ,Zambia                         ,NON-EC            ,               ,01/01/2014,        ,N
ZWE       ,BWP        ,Zimbabwe                       ,NON-EC            ,               ,01/01/2014,        ,N
